id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CL-AD-20602468,https://www.chileautos.cl/vehiculos/detalles/2026-subaru-crosstrek-2-0-dynamic-es-awd-cvt-at-5p/CL-AD-20602468,2.0 DYNAMIC ES AWD CVT AT 5P,1995,2.0,154,196,"SUV, 5 puertas, 5 asientos",SUV,4X4,Automática,Automática Cvt,Bencina,5,5,4,888,1487
CL-AD-20598148,https://www.chileautos.cl/vehiculos/detalles/2023-peugeot-landtrek-2-4-action4-thp-4x4-210-hp-at-4p/CL-AD-20598148,2.4 ACTION4 THP 4X4 210 HP AT 4P,2400,2.4,210,320,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4,5,4,976,1950
CL-AD-20592308,https://www.chileautos.cl/vehiculos/detalles/2017-peugeot-partner-1-6-hdi-diesel-4x2-90hp-pack-euro5-ac-mt-5p/CL-AD-20592308,1.6 HDI DIESEL 4X2 90HP PACK EURO5 AC MT 5P,1560,1.6,90,215,"Furgón, 5 puertas, 3 asientos",Furgón,4X2,Manual,Mecánico,Diesel,5,3,4,1122,1438
CL-AD-20591492,https://www.chileautos.cl/vehiculos/detalles/2012-ford-explorer-2-0-ecoboost-4x2-at-5p/CL-AD-20591492,2.0 ECOBOOST 4X2 AT 5P,2000,2.0,240,365,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5,7,4,728,2018
CL-AD-20588224,https://www.chileautos.cl/vehiculos/detalles/2012-audi-a5-1-8-tfsi-sportback-4x2-multitronic-at-5p/CL-AD-20588224,1.8 TFSI SPORTBACK 4X2 MULTITRONIC AT 5P,1798,1.8,300,440,"Liftback, 5 puertas, 5 asientos",Liftback,4X2,Automática,Automática,Bencina,5,5,4,904,1520
CL-AD-20583336,https://www.chileautos.cl/vehiculos/detalles/2020-peugeot-5008-1-6-gt-line-puretech-4x2-180-eat8-5p/CL-AD-20583336,1.6 GT-LINE PURETECH 4X2 180 EAT8 5P,1598,1.6,180,250,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5,7,4,879,1440
CL-AD-20579177,https://www.chileautos.cl/vehiculos/detalles/2014-audi-a3-1-8-tfsi-ambition-4x2-sdn-s-tronic-at-4p/CL-AD-20579177,1.8 TFSI AMBITION 4X2 SDN S-TRONIC AT 4P,1798,1.8,178,250,"Sedán, 4 puertas, 5 asientos",Sedán,4X2,Automática,Automática,Bencina,4,5,4,895,1295
CL-AD-20575294,https://www.chileautos.cl/vehiculos/detalles/2017-honda-pilot-3-5-touring-4x4-at-5p/CL-AD-20575294,3.5 TOURING 4X4 AT 5P,3471,3.5,280,355,"SUV, 5 puertas, 8 asientos",SUV,4X4,Automática,Automática,Bencina,5,8,6,710,1962
CL-AD-20571527,https://www.chileautos.cl/vehiculos/detalles/2014-renault-koleos-2-5-dynamique-4x2-techo-at-5p/CL-AD-20571527,2.5 DYNAMIQUE 4X2 TECHO AT 5P,2488,2.5,170,226,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5,5,4,682,1595
CL-AD-20567907,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-captiva-2-2-ls-diesel-fwd-v-mt6-5p/CL-AD-20567907,2.2 LS DIESEL FWD V MT6 5P,2200,2.2,181,400,"SUV, 5 puertas, 7 asientos",SUV,4X2,Manual,Mecánico,Diesel,5,7,4,1046,1803
CL-AD-20567526,https://www.chileautos.cl/vehiculos/detalles/2011-nissan-qashqai-1-6-4x2-mt-5p/CL-AD-20567526,1.6 4X2 MT 5P,1598,1.6,110,154,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5,5,4,1066,1830
